Warehouse,TimeTaken,Result,Cost
1,0.0034880638122558594,Solved,33
3,0.06358051300048828,Solved,41
5,0.0007250308990478516,Impossible,0
7,180.04233980178833,Timeout,0
9,0.16649270057678223,Solved,30
11,0.33619141578674316,Solved,78
13,8.943660259246826,Solved,52
15,0.24876618385314941,Solved,37
17,0.2474658489227295,Solved,25
19,0.16205477714538574,Solved,41
21,0.14950895309448242,Solved,17
23,0.20170259475708008,Impossible,0
25,0.23197150230407715,Solved,29
27,0.19954681396484375,Solved,50
29,2.4326491355895996,Impossible,0
31,0.2420034408569336,Solved,17
33,0.14544367790222168,Impossible,0
35,59.98792219161987,Impossible,0
37,27.283164501190186,Solved,71
39,0.1926708221435547,Impossible,0
41,0.4663710594177246,Solved,50
43,2.3876726627349854,Impossible,0
45,5.79240345954895,Solved,45
47,0.4246101379394531,Solved,83
49,6.059662103652954,Impossible,0
51,0.36923933029174805,Solved,34
53,0.334399938583374,Solved,37
55,0.27338457107543945,Impossible,0
57,0.22815442085266113,Solved,60
59,0.23166704177856445,Impossible,0
61,0.16190218925476074,Impossible,0
63,0.1641676425933838,Impossible,0
65,180.16704082489014,Timeout,0
67,0.3078007698059082,Solved,37
69,180.28189206123352,Timeout,0
71,0.7241146564483643,Impossible,0
73,0.2908811569213867,Impossible,0
