Warehouse,TimeTaken,Result,Cost
1,0.6842775344848633,Solved,33
3,0.4229614734649658,Solved,41
5,0.557647705078125,Impossible,0
7,180.4157726764679,Timeout,0
9,0.7407808303833008,Solved,30
11,0.848684549331665,Solved,78
13,1.731290578842163,Solved,52
15,0.9027345180511475,Solved,37
17,0.8928446769714355,Solved,25
19,0.6489427089691162,Solved,41
21,0.8988730907440186,Solved,17
23,0.4804418087005615,Impossible,0
25,0.8211579322814941,Solved,29
27,0.8975026607513428,Solved,50
29,0.8466999530792236,Impossible,0
31,0.7798035144805908,Solved,17
33,0.7067441940307617,Impossible,0
35,4.954133749008179,Impossible,0
37,1.126082181930542,Solved,71
39,0.6840269565582275,Impossible,0
41,0.7777614593505859,Solved,50
43,0.6684792041778564,Impossible,0
45,0.9218621253967285,Solved,45
47,0.9071240425109863,Solved,83
49,0.6343753337860107,Impossible,0
51,1.0335469245910645,Solved,34
53,1.0770437717437744,Solved,37
55,0.7482984066009521,Impossible,0
57,0.7027194499969482,Solved,60
59,0.8492946624755859,Impossible,0
61,0.08791589736938477,Impossible,0
63,0.7031702995300293,Impossible,0
65,181.06133008003235,Timeout,0
67,0.8225579261779785,Solved,37
69,180.55614280700684,Timeout,0
71,0.9816017150878906,Impossible,0
73,0.8017406463623047,Impossible,0
